%% flowcalc run at Thu Jun  2 13:15:35 2016
% modules: coral 

@relation 'Capture_02_06_2016.pcap'

%% flowcalc 0.2
% fc_id:       flow id
% fc_tstamp:   timestamp of first packet in the flow
% fc_duration: flow duration
% fc_proto:    transport protocol
% fc_src_addr: IP address of connection initiator
% fc_src_port: TP port number of connection initiator
% fc_dst_addr: IP address of remote peer
% fc_dst_port: TP port number of remote peer

@attribute fc_id numeric
@attribute fc_tstamp numeric
@attribute fc_duration numeric
@attribute fc_proto {TCP,UDP}
@attribute fc_src_addr string
@attribute fc_src_port numeric
@attribute fc_dst_addr string
@attribute fc_dst_port numeric

%% coral 0.1
% crl_group: protocol group
% crl_name: protocol name
@attribute crl_group string
@attribute class {HTTPS, HTTP, DNS}

@data
405,1464864038.003980,0.223716,TCP,10.0.2.15,36636,185.44.142.4,80,WWW,HTTP
322,1464864035.872636,2.449309,TCP,10.0.2.15,41434,217.79.180.36,80,WWW,HTTP
113,1464864028.736855,9.604633,TCP,10.0.2.15,43100,104.69.123.166,80,WWW,HTTP
394,1464864037.967517,0.471725,TCP,10.0.2.15,60660,5.135.99.245,80,WWW,HTTP
263,1464864032.257666,6.194233,TCP,10.0.2.15,53140,216.58.208.46,443,WWW,HTTPS
404,1464864038.003734,0.481441,TCP,10.0.2.15,39614,54.152.141.6,80,WWW,HTTP
425,1464864038.458212,0.036721,TCP,10.0.2.15,60772,185.86.138.16,80,WWW,HTTP
408,1464864038.040799,0.462908,TCP,10.0.2.15,33054,188.165.32.32,80,WWW,HTTP
413,1464864038.173965,0.336612,TCP,10.0.2.15,60766,185.86.138.16,80,WWW,HTTP
414,1464864038.321235,0.260676,TCP,10.0.2.15,50274,178.250.2.71,80,WWW,HTTP
428,1464864038.528283,0.350747,TCP,10.0.2.15,60184,184.73.162.65,80,WWW,HTTP
433,1464864038.774045,0.166552,TCP,10.0.2.15,59352,37.252.166.209,80,WWW,HTTP
431,1464864038.773766,0.194181,TCP,10.0.2.15,46108,216.58.208.46,80,WWW,HTTP
432,1464864038.773937,0.195023,TCP,10.0.2.15,46110,216.58.208.46,80,WWW,HTTP
430,1464864038.773649,0.203318,TCP,10.0.2.15,56720,216.58.210.2,80,WWW,HTTP
429,1464864038.773558,0.203458,TCP,10.0.2.15,56718,216.58.210.2,80,WWW,HTTP
393,1464864037.967376,1.053329,TCP,10.0.2.15,60658,5.135.99.245,80,WWW,HTTP
307,1464864033.788950,5.322635,TCP,10.0.2.15,33132,23.38.219.170,80,WWW,HTTP
306,1464864033.788559,5.323076,TCP,10.0.2.15,33130,23.38.219.170,80,WWW,HTTP
285,1464864032.904223,6.229916,TCP,10.0.2.15,36448,64.233.184.95,80,WWW,HTTP
282,1464864032.843890,6.302870,TCP,10.0.2.15,46512,81.26.166.70,80,WWW,HTTP
284,1464864032.844345,6.306333,TCP,10.0.2.15,59434,81.26.166.11,80,WWW,HTTP
155,1464864029.445152,10.115737,TCP,10.0.2.15,50750,93.184.221.133,80,WWW,HTTP
153,1464864029.444997,10.128795,TCP,10.0.2.15,50746,93.184.221.133,80,WWW,HTTP
159,1464864029.479265,10.381732,TCP,10.0.2.15,56118,54.192.29.162,80,WWW,HTTP
112,1464864028.652035,11.293156,TCP,10.0.2.15,60320,107.178.244.41,80,WWW,HTTP
190,1464864030.018114,10.058982,TCP,10.0.2.15,53296,54.192.30.248,80,WWW,HTTP
334,1464864036.065750,4.026972,TCP,10.0.2.15,52994,188.165.32.247,80,WWW,HTTP
443,1464864040.144408,0.067457,TCP,10.0.2.15,57850,178.250.2.66,80,WWW,HTTP
447,1464864040.235799,0.012369,TCP,10.0.2.15,44134,193.1.253.144,80,WWW,HTTP
192,1464864030.018268,10.282614,TCP,10.0.2.15,51796,50.17.240.19,80,WWW,HTTP
335,1464864036.065856,4.256573,TCP,10.0.2.15,52996,188.165.32.247,80,WWW,HTTP
453,1464864040.667574,0.126836,TCP,10.0.2.15,52558,74.125.206.156,443,WWW,HTTPS
463,1464864040.867694,0.004573,TCP,10.0.2.15,34320,54.76.58.225,80,WWW,HTTP
469,1464864040.872944,0.003586,TCP,10.0.2.15,52996,54.77.38.194,80,WWW,HTTP
464,1464864040.867836,0.037030,TCP,10.0.2.15,34322,54.76.58.225,80,WWW,HTTP
412,1464864038.173878,2.748579,TCP,10.0.2.15,60764,185.86.138.16,80,WWW,HTTP
475,1464864040.919084,0.026907,TCP,10.0.2.15,53022,74.125.206.157,80,WWW,HTTP
207,1464864030.867676,10.099735,TCP,10.0.2.15,45108,185.86.137.17,80,WWW,HTTP
495,1464864040.968213,0.017902,TCP,127.0.0.1,53532,127.0.1.1,53,Network_Infrastructure,DNS
496,1464864040.968678,0.021255,TCP,10.0.2.15,59520,136.206.11.45,53,Network_Infrastructure,DNS
204,1464864030.858427,10.202770,TCP,10.0.2.15,45102,185.86.137.17,80,WWW,HTTP
465,1464864040.867917,0.243181,TCP,10.0.2.15,52994,54.77.38.194,80,WWW,HTTP
477,1464864040.919257,0.202574,TCP,10.0.2.15,53026,74.125.206.157,80,WWW,HTTP
476,1464864040.919173,0.204169,TCP,10.0.2.15,53024,74.125.206.157,80,WWW,HTTP
324,1464864035.896484,5.256601,TCP,10.0.2.15,57684,23.200.96.185,80,WWW,HTTP
318,1464864035.735997,5.444520,TCP,10.0.2.15,55624,193.1.253.139,80,WWW,HTTP
332,1464864036.045174,5.177351,TCP,10.0.2.15,59542,178.250.0.67,443,WWW,HTTPS
331,1464864036.025142,5.208108,TCP,10.0.2.15,59540,178.250.0.67,443,WWW,HTTPS
474,1464864040.918964,0.350452,TCP,10.0.2.15,60722,5.135.99.245,80,WWW,HTTP
517,1464864041.270642,0.003647,TCP,10.0.2.15,34520,130.211.5.178,80,WWW,HTTP
512,1464864041.034079,0.301739,TCP,10.0.2.15,59226,91.216.195.218,80,WWW,HTTP
513,1464864041.034213,0.301627,TCP,10.0.2.15,59228,91.216.195.218,80,WWW,HTTP
462,1464864040.828242,0.515430,TCP,10.0.2.15,56888,52.49.233.203,80,WWW,HTTP
265,1464864032.261425,9.096528,TCP,10.0.2.15,41628,93.184.221.200,80,WWW,HTTP
518,1464864041.270784,0.164727,TCP,10.0.2.15,34522,130.211.5.178,80,WWW,HTTP
427,1464864038.460696,3.058005,TCP,10.0.2.15,60776,185.86.138.16,80,WWW,HTTP
473,1464864040.918815,0.684313,TCP,10.0.2.15,60720,5.135.99.245,80,WWW,HTTP
523,1464864041.504758,0.187839,TCP,10.0.2.15,60742,5.135.99.245,80,WWW,HTTP
239,1464864031.637133,10.087617,TCP,10.0.2.15,45618,178.250.2.80,80,WWW,HTTP
532,1464864041.612080,0.355513,TCP,10.0.2.15,37796,37.252.163.168,443,WWW,HTTPS
519,1464864041.360434,0.704485,TCP,10.0.2.15,45254,172.217.16.162,443,WWW,HTTPS
154,1464864029.445073,12.671852,TCP,10.0.2.15,50748,93.184.221.133,80,WWW,HTTP
156,1464864029.445238,12.673333,TCP,10.0.2.15,50752,93.184.221.133,80,WWW,HTTP
